id,product_id,warehouse_id,moved_at,movement_type,quantity,reference,balance_after
1,1312,1,2025-06-25 11:46:59,RECEIPT,90,PO-2025-21659,90
2,346,1,2025-06-25 14:46:59,RECEIPT,14,PO-2025-13005,14
3,126,2,2025-06-26 04:58:48,RECEIPT,12,PO-2025-11001,12
4,274,2,2025-06-26 07:03:14,RECEIPT,120,PO-2025-12476,120
5,1895,2,2025-06-26 08:58:48,RECEIPT,14,PO-2025-26484,14
6,3171,2,2025-06-26 09:04:17,RECEIPT,10,PO-2025-37245,10
7,2902,2,2025-06-26 10:58:48,RECEIPT,120,PO-2025-34876,120
8,1789,1,2025-06-26 13:12:59,RECEIPT,9,PO-2025-25585,9
9,1722,2,2025-06-27 02:55:20,RECEIPT,16,PO-2025-24949,16
10,1689,2,2025-06-27 03:55:20,RECEIPT,6,PO-2025-24717,6
11,1941,2,2025-06-27 04:07:46,RECEIPT,36,PO-2025-26908,36
12,1148,2,2025-06-27 05:07:46,RECEIPT,16,PO-2025-20028,16
13,523,3,2025-06-27 06:18:04,RECEIPT,48,PO-2025-14785,48
14,1693,3,2025-06-27 07:18:04,RECEIPT,22,PO-2025-24764,22
15,1254,2,2025-06-27 07:28:28,RECEIPT,24,PO-2025-21134,24
16,205,2,2025-06-27 08:58:48,RECEIPT,132,PO-2025-11730,132
17,2558,2,2025-06-27 09:04:17,RECEIPT,24,PO-2025-31790,24
18,488,1,2025-06-27 09:46:59,RECEIPT,32,PO-2025-14371,32
19,1152,2,2025-06-27 09:58:48,RECEIPT,288,PO-2025-20057,288
20,1756,2,2025-06-27 09:58:48,RECEIPT,48,PO-2025-25342,48
21,1465,2,2025-06-27 10:39:06,RECEIPT,30,PO-2025-22938,30
22,488,2,2025-06-27 11:58:48,RECEIPT,4,PO-2025-14391,4
23,538,1,2025-06-27 12:26:16,RECEIPT,12,PO-2025-14889,12
24,353,1,2025-06-27 17:46:59,RECEIPT,120,PO-2025-13071,120
25,2974,2,2025-06-28 03:14:17,RECEIPT,20,PO-2025-35635,20
26,1751,2,2025-06-28 05:14:17,RECEIPT,59,PO-2025-25275,59
27,656,2,2025-06-28 07:04:17,RECEIPT,41,PO-2025-15942,41
28,1710,1,2025-06-28 07:34:52,RECEIPT,19,PO-2025-24856,19
29,1767,2,2025-06-28 07:35:01,RECEIPT,23,PO-2025-25425,23
30,225,2,2025-06-28 07:39:06,RECEIPT,12,PO-2025-11949,12
31,730,1,2025-06-28 09:57:11,RECEIPT,8,PO-2025-16554,8
32,2182,2,2025-06-28 09:58:48,RECEIPT,46,PO-2025-28814,46
33,1929,2,2025-06-28 10:07:46,RECEIPT,10,PO-2025-26820,10
34,1759,2,2025-06-28 10:14:13,RECEIPT,28,PO-2025-25361,28
35,347,2,2025-06-28 10:35:01,RECEIPT,12,PO-2025-13018,12
36,2919,2,2025-06-28 10:35:01,RECEIPT,29,PO-2025-35019,29
37,2448,2,2025-06-28 10:58:48,RECEIPT,30,PO-2025-30876,30
38,2465,2,2025-06-28 11:10:50,RECEIPT,24,PO-2025-31044,24
39,2226,2,2025-06-28 11:35:01,RECEIPT,168,PO-2025-29178,168
40,1896,1,2025-06-28 11:39:33,RECEIPT,10,PO-2025-26496,10
41,644,2,2025-06-28 11:54:47,RECEIPT,35,PO-2025-15823,35
42,2967,1,2025-06-28 11:57:11,RECEIPT,1,PO-2025-35564,1
43,2352,2,2025-06-28 12:10:50,RECEIPT,6,PO-2025-30180,6
44,1386,2,2025-06-28 12:22:18,RECEIPT,12,PO-2025-22320,12
45,510,1,2025-06-28 12:46:59,RECEIPT,60,PO-2025-14587,60
46,1660,1,2025-06-28 13:23:23,RECEIPT,22,PO-2025-24567,22
47,69,1,2025-06-28 14:27:15,RECEIPT,24,PO-2025-10543,24
48,260,1,2025-06-28 14:35:06,RECEIPT,6,PO-2025-12241,6
49,2446,1,2025-06-28 14:46:59,RECEIPT,24,PO-2025-30851,24
50,2249,1,2025-06-28 15:46:59,RECEIPT,132,PO-2025-29329,132
51,942,2,2025-06-28 15:52:57,RECEIPT,46,PO-2025-18440,46
52,1886,1,2025-06-28 16:39:33,RECEIPT,12,PO-2025-26409,12
53,907,1,2025-06-28 16:46:59,RECEIPT,54,PO-2025-18134,54
54,2057,2,2025-06-29 05:05:12,RECEIPT,11,PO-2025-27834,11
55,963,2,2025-06-29 06:22:18,RECEIPT,17,PO-2025-18604,17
56,274,1,2025-06-29 06:53:54,RECEIPT,24,PO-2025-12445,24
57,433,1,2025-06-29 06:53:54,RECEIPT,4,PO-2025-13780,4
58,2956,3,2025-06-29 07:15:11,RECEIPT,24,PO-2025-35431,24
59,1253,2,2025-06-29 09:04:50,RECEIPT,18,PO-2025-21093,18
60,394,2,2025-06-29 10:34:27,RECEIPT,35,PO-2025-13451,35
61,2054,1,2025-06-29 10:46:59,RECEIPT,48,PO-2025-27814,48
62,2612,2,2025-06-29 10:49:29,RECEIPT,30,PO-2025-32302,30
63,906,2,2025-06-29 10:54:47,RECEIPT,52,PO-2025-18120,52
64,1801,2,2025-06-29 10:55:20,RECEIPT,28,PO-2025-25735,28
65,480,2,2025-06-29 11:10:50,RECEIPT,108,PO-2025-14252,108
66,1479,2,2025-06-29 11:34:27,RECEIPT,144,PO-2025-23020,144
67,2005,1,2025-06-29 11:39:33,RECEIPT,4,PO-2025-27416,4
68,2887,1,2025-06-29 12:14:11,RECEIPT,22,PO-2025-34587,22
69,1755,2,2025-06-29 12:28:28,RECEIPT,35,PO-2025-25329,35
70,1634,2,2025-06-29 12:34:27,RECEIPT,96,PO-2025-24413,96
71,1574,1,2025-06-29 12:46:59,RECEIPT,78,PO-2025-23855,78
72,1084,2,2025-06-29 13:04:17,RECEIPT,20,PO-2025-19444,20
73,949,1,2025-06-29 13:18:49,RECEIPT,31,PO-2025-18504,31
74,2803,2,2025-06-29 13:22:18,RECEIPT,4,PO-2025-33979,4
75,874,1,2025-06-29 13:46:59,RECEIPT,10,PO-2025-17862,10
76,1330,1,2025-06-29 14:14:11,RECEIPT,12,PO-2025-21846,12
77,1538,1,2025-06-29 15:26:16,RECEIPT,26,PO-2025-23567,26
78,3081,1,2025-06-29 15:39:33,RECEIPT,30,PO-2025-36476,30
79,1755,1,2025-06-29 15:46:59,RECEIPT,2,PO-2025-25323,2
80,2015,1,2025-06-29 16:26:16,RECEIPT,30,PO-2025-27480,30
81,2075,2,2025-06-29 16:34:27,RECEIPT,96,PO-2025-27970,96
82,1765,3,2025-06-30 01:18:04,RECEIPT,2,PO-2025-25412,2
83,2889,3,2025-06-30 02:18:04,RECEIPT,20,PO-2025-34644,20
84,93,1,2025-06-30 04:34:52,RECEIPT,18,PO-2025-10722,18
85,1632,3,2025-06-30 05:15:11,RECEIPT,12,PO-2025-24382,12
86,2766,3,2025-06-30 05:15:11,RECEIPT,26,PO-2025-33732,26
