id,credit_note_number,customer_id,claim_id,order_id,issued_at,amount,currency,reason,status,created_by
1,CN-2025-00001,87,2,22,2025-09-22 13:37:00,1443.06,EUR,CLAIM,ISSUED,5
2,CN-2025-00002,1682,3,35,2025-08-21 16:34:22,3.15,EUR,PRICE_CORRECTION,APPLIED,5
3,CN-2025-00003,1202,4,50,2025-07-31 10:27:11,28.21,EUR,CLAIM,APPLIED,5
4,CN-2025-00004,2146,6,58,2025-07-29 16:40:51,18.48,EUR,CLAIM,APPLIED,5
5,CN-2025-00005,1659,7,106,2025-09-05 16:21:34,308.90,EUR,CLAIM,APPLIED,5
6,CN-2025-00006,2326,8,121,2025-08-06 10:54:09,754.20,EUR,GOODWILL,ISSUED,3
7,CN-2025-00007,2147,9,128,2025-08-14 18:26:27,924.75,EUR,CLAIM,APPLIED,4
8,CN-2025-00008,1323,10,144,2025-08-20 15:53:12,1545.58,EUR,GOODWILL,APPLIED,3
9,CN-2025-00009,667,11,146,2025-07-17 17:19:09,39.56,EUR,CLAIM,APPLIED,3
10,CN-2025-00010,1230,13,154,2025-08-06 09:23:42,49.40,EUR,CLAIM,APPLIED,5
11,CN-2025-00011,311,15,232,2025-08-25 11:46:15,581.40,EUR,CLAIM,APPLIED,3
12,CN-2025-00012,2377,16,253,2025-08-12 15:59:42,37.58,EUR,CLAIM,APPLIED,4
13,CN-2025-00013,1768,17,293,2025-08-13 17:03:11,598.20,EUR,CLAIM,APPLIED,3
14,CN-2025-00014,2096,18,306,2025-08-28 17:11:28,802.80,EUR,CLAIM,APPLIED,4
15,CN-2025-00015,2300,20,323,2025-08-14 15:07:02,509.25,EUR,CLAIM,APPLIED,5
16,CN-2025-00016,1863,23,345,2025-08-22 15:43:25,1.67,EUR,RETURN,APPLIED,5
17,CN-2025-00017,596,24,346,2025-07-25 17:12:27,1327.32,EUR,CLAIM,APPLIED,3
18,CN-2025-00018,1875,25,349,2025-08-25 10:30:30,1.35,EUR,PRICE_CORRECTION,APPLIED,5
19,CN-2025-00019,2289,26,370,2025-08-18 08:22:09,5.05,EUR,GOODWILL,APPLIED,3
20,CN-2025-00020,1612,27,386,2025-08-18 15:34:10,1.41,EUR,PRICE_CORRECTION,ISSUED,3
21,CN-2025-00021,333,28,428,2025-08-14 17:16:23,212.16,EUR,CLAIM,APPLIED,3
22,CN-2025-00022,62,29,438,2025-08-27 11:51:04,91.50,EUR,CLAIM,APPLIED,4
23,CN-2025-00023,1414,30,443,2025-09-08 12:16:20,59.90,EUR,CLAIM,ISSUED,5
24,CN-2025-00024,1831,31,462,2025-09-03 15:28:00,210.90,EUR,CLAIM,APPLIED,3
25,CN-2025-00025,1100,32,476,2025-07-29 17:43:34,1359.60,EUR,CLAIM,APPLIED,4
26,CN-2025-00026,12,33,478,2025-08-26 16:49:30,9802.80,EUR,CLAIM,APPLIED,3
27,CN-2025-00027,693,34,547,2025-08-12 12:02:14,4166.10,EUR,CLAIM,APPLIED,5
28,CN-2025-00028,1573,35,552,2025-08-18 12:08:17,63.82,EUR,GOODWILL,APPLIED,3
29,CN-2025-00029,195,36,566,2025-08-05 14:48:03,116.25,EUR,CLAIM,APPLIED,4
30,CN-2025-00030,2054,37,577,2025-09-04 17:39:48,70.20,EUR,PRICE_CORRECTION,ISSUED,4
31,CN-2025-00031,1557,38,583,2025-08-11 12:10:00,11.67,EUR,CLAIM,APPLIED,4
32,CN-2025-00032,1958,39,607,2025-10-08 10:49:43,243.29,EUR,GOODWILL,CANCELLED,5
