id,return_id,claim_line_id,product_id,quantity,condition,disposition
1,1,3,2769,3,DEFECTIVE,SCRAP
2,1,4,22,6,DEFECTIVE,RETURN_TO_SUPPLIER
3,2,11,1553,1,DEFECTIVE,RETURN_TO_SUPPLIER
4,2,12,1298,1,DEFECTIVE,RETURN_TO_SUPPLIER
5,3,14,2974,4,RESALABLE,RESTOCK
6,4,16,1372,4,RESALABLE,RESTOCK
7,5,18,2000,12,DAMAGED,SCRAP
8,6,19,2465,3,,
9,7,20,1729,15,DAMAGED,SCRAP
10,8,30,1504,12,DEFECTIVE,RETURN_TO_SUPPLIER
11,9,31,1626,2,DAMAGED,SCRAP
12,10,32,1439,1,,
13,11,33,1292,1,DEFECTIVE,RETURN_TO_SUPPLIER
14,12,34,1391,6,DAMAGED,SCRAP
15,12,35,631,6,DAMAGED,SCRAP
16,13,36,935,12,DAMAGED,SCRAP
17,14,38,659,1,DAMAGED,SCRAP
18,15,40,585,2,DEFECTIVE,SCRAP
19,16,41,846,1,DAMAGED,SCRAP
20,17,42,2180,1,,
21,18,43,2630,6,DAMAGED,SCRAP
22,19,48,368,6,RESALABLE,RESTOCK
23,20,49,1406,4,DAMAGED,SCRAP
24,21,50,1932,1,DAMAGED,SCRAP
25,22,59,2446,6,,
26,23,65,2680,1,RESALABLE,RESTOCK
27,24,66,1902,12,DAMAGED,SCRAP
28,24,67,1004,5,DAMAGED,SCRAP
29,25,68,589,15,DAMAGED,SCRAP
30,26,69,385,10,DAMAGED,SCRAP
31,27,75,1725,2,DAMAGED,SCRAP
32,28,76,1384,24,DAMAGED,SCRAP
33,29,77,702,1,DAMAGED,SCRAP
34,29,78,1919,2,DAMAGED,SCRAP
35,30,79,762,4,DAMAGED,SCRAP
36,31,80,1792,6,DAMAGED,SCRAP
37,31,81,1751,1,DAMAGED,SCRAP
38,31,82,2500,10,DAMAGED,SCRAP
39,32,87,1825,20,DAMAGED,SCRAP
40,32,88,205,2,DAMAGED,SCRAP
41,33,93,1403,1,,
42,34,108,167,2,DAMAGED,SCRAP
43,35,115,1742,12,DAMAGED,SCRAP
44,36,116,1485,6,RESALABLE,RESTOCK
45,37,117,2831,2,DAMAGED,SCRAP
46,37,118,428,7,DAMAGED,SCRAP
47,38,120,671,24,DAMAGED,SCRAP
48,39,128,2852,1,DAMAGED,SCRAP
49,39,129,227,1,DAMAGED,SCRAP
50,40,134,428,24,DAMAGED,SCRAP
51,40,135,2865,1,DAMAGED,SCRAP
52,41,136,274,12,DAMAGED,SCRAP
53,42,139,1902,15,DAMAGED,SCRAP
54,42,140,488,6,DAMAGED,SCRAP
55,43,141,2525,5,RESALABLE,RESTOCK
56,44,142,2928,24,DEFECTIVE,RETURN_TO_SUPPLIER
57,45,143,2627,30,RESALABLE,RESTOCK
58,46,144,665,24,DAMAGED,SCRAP
59,47,146,1871,24,DAMAGED,SCRAP
60,47,147,2570,12,DAMAGED,SCRAP
61,48,148,1626,10,RESALABLE,RESTOCK
62,49,150,419,6,RESALABLE,RESTOCK
63,50,155,2707,48,RESALABLE,RESTOCK
64,50,156,944,2,DAMAGED,SCRAP
65,51,157,419,2,RESALABLE,RESTOCK
66,51,158,1233,30,RESALABLE,RESTOCK
67,52,159,731,4,DAMAGED,SCRAP
68,52,160,2766,1,DAMAGED,SCRAP
69,53,161,360,18,RESALABLE,RESTOCK
70,54,165,2594,6,DAMAGED,SCRAP
71,55,166,17,1,RESALABLE,RESTOCK
72,56,169,171,6,RESALABLE,RESTOCK
73,57,170,2586,2,RESALABLE,RESTOCK
74,58,172,1146,4,DEFECTIVE,RETURN_TO_SUPPLIER
75,59,173,1481,1,DAMAGED,SCRAP
76,59,174,715,6,DAMAGED,SCRAP
77,59,175,2645,1,DAMAGED,SCRAP
78,60,176,3157,10,DAMAGED,SCRAP
79,60,177,3158,3,DAMAGED,SCRAP
80,61,178,367,2,DAMAGED,SCRAP
81,62,179,1137,5,DEFECTIVE,RETURN_TO_SUPPLIER
82,63,180,183,9,,
83,64,183,1167,10,DAMAGED,SCRAP
84,65,185,2506,4,DAMAGED,SCRAP
85,65,186,1831,1,DAMAGED,SCRAP
86,66,188,1199,7,DEFECTIVE,SCRAP
87,67,189,2779,2,DEFECTIVE,SCRAP
88,68,199,846,20,DAMAGED,SCRAP
89,69,201,2530,20,RESALABLE,RESTOCK
90,69,202,2784,5,RESALABLE,RESTOCK
91,70,211,2553,2,DAMAGED,SCRAP
92,70,212,113,1,DAMAGED,SCRAP
93,70,213,1520,8,DAMAGED,SCRAP
94,71,217,2210,1,DAMAGED,SCRAP
95,72,218,1553,1,,
96,72,219,682,24,,
97,72,220,1034,1,,
98,73,221,948,10,DAMAGED,SCRAP
99,73,222,2304,4,DAMAGED,SCRAP
100,74,223,2378,12,DAMAGED,SCRAP
101,74,224,789,1,DAMAGED,SCRAP
102,75,225,3164,24,RESALABLE,RESTOCK
103,75,226,464,2,RESALABLE,RESTOCK
104,76,228,1738,12,DEFECTIVE,SCRAP
105,76,229,3037,2,DEFECTIVE,SCRAP
106,77,230,286,12,DAMAGED,SCRAP
107,78,231,752,9,DAMAGED,SCRAP
108,79,232,2193,5,,
109,79,233,779,1,,
110,80,235,2256,1,DAMAGED,SCRAP
111,81,236,2571,20,RESALABLE,RESTOCK
112,82,237,2575,4,DEFECTIVE,RETURN_TO_SUPPLIER
113,83,238,3032,1,DAMAGED,SCRAP
114,83,239,1001,24,DAMAGED,SCRAP
115,83,240,380,1,DAMAGED,SCRAP
116,84,243,224,48,DEFECTIVE,SCRAP
117,84,244,1824,1,DEFECTIVE,RETURN_TO_SUPPLIER
118,85,245,1808,3,DAMAGED,SCRAP
119,85,246,566,1,DAMAGED,SCRAP
120,86,247,2394,1,DAMAGED,SCRAP
121,86,248,2553,5,DAMAGED,SCRAP
122,86,249,1153,20,DAMAGED,SCRAP
123,87,250,1071,6,RESALABLE,RESTOCK
124,88,251,907,3,DAMAGED,SCRAP
125,89,252,1227,2,DAMAGED,SCRAP
126,90,254,883,1,DAMAGED,SCRAP
127,90,255,1410,12,DAMAGED,SCRAP
128,91,262,1721,1,DAMAGED,SCRAP
129,91,263,416,9,DAMAGED,SCRAP
130,92,269,1032,3,DAMAGED,SCRAP
131,93,271,1253,4,DAMAGED,SCRAP
132,94,272,167,5,DAMAGED,SCRAP
133,95,273,1818,1,DAMAGED,SCRAP
134,95,274,796,12,DAMAGED,SCRAP
135,96,278,757,1,DAMAGED,SCRAP
136,97,281,1071,2,DAMAGED,SCRAP
137,98,282,944,3,DEFECTIVE,RETURN_TO_SUPPLIER
138,99,283,2723,10,DAMAGED,SCRAP
139,100,293,223,10,DEFECTIVE,RETURN_TO_SUPPLIER
140,101,295,1752,1,,
141,102,296,1863,2,DEFECTIVE,SCRAP
142,102,297,1764,1,DEFECTIVE,RETURN_TO_SUPPLIER
143,103,298,480,18,DAMAGED,SCRAP
144,103,299,3128,1,DAMAGED,SCRAP
145,103,300,2329,12,DAMAGED,SCRAP
146,104,301,462,3,DEFECTIVE,RETURN_TO_SUPPLIER
147,105,304,2600,3,DEFECTIVE,RETURN_TO_SUPPLIER
148,106,307,216,1,DAMAGED,SCRAP
149,106,308,671,1,DAMAGED,SCRAP
150,106,309,2953,1,DAMAGED,SCRAP
151,107,310,735,20,RESALABLE,RESTOCK
152,108,311,2397,18,DAMAGED,SCRAP
153,108,312,946,1,DAMAGED,SCRAP
154,109,316,2571,6,DEFECTIVE,SCRAP
155,110,321,1439,5,DEFECTIVE,RETURN_TO_SUPPLIER
156,110,322,594,24,DEFECTIVE,RETURN_TO_SUPPLIER
157,111,324,1003,1,DAMAGED,SCRAP
158,112,326,693,2,DEFECTIVE,RETURN_TO_SUPPLIER
159,112,327,2628,1,DEFECTIVE,RETURN_TO_SUPPLIER
160,112,328,730,4,DEFECTIVE,RETURN_TO_SUPPLIER
161,113,329,262,3,RESALABLE,RESTOCK
162,114,330,837,2,DAMAGED,SCRAP
163,115,331,271,1,DAMAGED,SCRAP
164,116,337,784,4,DAMAGED,SCRAP
165,116,338,3037,4,DAMAGED,SCRAP
166,117,349,1176,1,DAMAGED,SCRAP
167,118,351,2394,12,RESALABLE,RESTOCK
168,119,352,2413,1,DAMAGED,SCRAP
169,119,353,1631,5,DAMAGED,SCRAP
170,120,354,2715,5,DAMAGED,SCRAP
171,120,355,1067,4,RESALABLE,RESTOCK
172,121,356,288,1,DEFECTIVE,SCRAP
173,122,357,1899,24,DEFECTIVE,RETURN_TO_SUPPLIER
174,123,358,1925,3,DAMAGED,SCRAP
175,124,359,2272,30,DAMAGED,SCRAP
176,124,360,2061,5,DAMAGED,SCRAP
177,125,362,997,2,DEFECTIVE,RETURN_TO_SUPPLIER
178,126,363,1975,12,DEFECTIVE,RETURN_TO_SUPPLIER
179,127,364,1622,5,RESALABLE,RESTOCK
180,127,365,488,6,DAMAGED,SCRAP
181,128,366,666,1,DAMAGED,SCRAP
182,128,367,2031,6,DAMAGED,SCRAP
183,129,376,2900,3,DAMAGED,SCRAP
184,129,377,1214,4,DAMAGED,SCRAP
185,130,378,1371,1,DAMAGED,SCRAP
186,130,379,2221,1,DAMAGED,SCRAP
187,131,383,3036,7,DEFECTIVE,SCRAP
188,132,384,229,3,DAMAGED,SCRAP
189,133,392,3092,12,RESALABLE,RESTOCK
190,133,393,202,1,RESALABLE,RESTOCK
191,133,394,1295,6,RESALABLE,RESTOCK
192,134,395,999,1,DEFECTIVE,RETURN_TO_SUPPLIER
193,135,399,2796,1,RESALABLE,RESTOCK
194,136,404,926,3,DEFECTIVE,RETURN_TO_SUPPLIER
195,136,405,2906,12,DEFECTIVE,RETURN_TO_SUPPLIER
196,137,409,2766,2,,
197,137,410,2944,48,,
198,138,412,1789,4,RESALABLE,RESTOCK
199,138,413,344,18,DAMAGED,SCRAP
200,138,414,1084,5,RESALABLE,RESTOCK
201,139,417,1516,10,DAMAGED,SCRAP
202,140,420,560,2,,
203,141,422,183,3,DEFECTIVE,RETURN_TO_SUPPLIER
204,141,423,563,10,DEFECTIVE,SCRAP
205,141,424,346,2,DEFECTIVE,RETURN_TO_SUPPLIER
206,142,425,2977,1,DAMAGED,SCRAP
207,143,426,99,6,DEFECTIVE,RETURN_TO_SUPPLIER
208,144,427,2564,5,DAMAGED,SCRAP
209,144,428,1204,9,DAMAGED,SCRAP
210,144,429,3107,2,DAMAGED,SCRAP
211,145,430,2468,12,DAMAGED,SCRAP
212,146,431,339,1,,
213,147,432,983,24,DEFECTIVE,RETURN_TO_SUPPLIER
214,147,433,2521,9,DEFECTIVE,RETURN_TO_SUPPLIER
215,147,434,2645,3,DEFECTIVE,RETURN_TO_SUPPLIER
216,148,436,644,2,DAMAGED,SCRAP
217,149,437,469,15,RESALABLE,RESTOCK
218,150,438,3184,18,RESALABLE,RESTOCK
219,151,443,1510,6,DAMAGED,SCRAP
220,151,444,2999,6,DAMAGED,SCRAP
221,152,445,742,1,RESALABLE,RESTOCK
222,152,446,1885,48,RESALABLE,RESTOCK
223,153,447,660,4,DAMAGED,SCRAP
224,154,448,2645,1,DAMAGED,SCRAP
225,155,452,1660,2,DAMAGED,SCRAP
226,155,453,1184,3,DAMAGED,SCRAP
227,155,454,2527,3,DAMAGED,SCRAP
228,156,455,2251,8,RESALABLE,RESTOCK
229,157,456,1015,6,RESALABLE,RESTOCK
230,157,457,510,24,RESALABLE,RESTOCK
231,158,458,3073,20,DEFECTIVE,SCRAP
232,158,459,593,15,DEFECTIVE,RETURN_TO_SUPPLIER
233,159,460,2827,4,DAMAGED,SCRAP
234,159,461,3003,10,DAMAGED,SCRAP
235,159,462,2041,1,DAMAGED,SCRAP
236,160,463,193,1,DAMAGED,SCRAP
237,161,465,2360,3,DAMAGED,SCRAP
238,161,466,1633,15,DAMAGED,SCRAP
239,161,467,1198,3,DAMAGED,SCRAP
240,162,468,445,1,RESALABLE,RESTOCK
241,163,470,1880,24,DAMAGED,SCRAP
