id,claim_id,order_line_id,product_id,quantity_affected,pallet_number,amount,issue_note
1,1,74,2157,1,1,89.90,Carton crushed
2,1,73,2902,3,1,66.00,Product surface scratched
3,2,104,2769,3,1,81.66,zip slider broke after a few uses
4,2,102,22,6,1,1361.40,buckle cracked in the cold
5,3,149,884,1,,6.30,Unit price disputed
6,4,231,1481,4,,54.20,Inner pack incomplete
7,4,232,1620,1,,2.23,Carton missing
8,5,236,1801,2,,367.80,Wrong colour
9,6,259,1542,1,,3.68,Inner pack incomplete
10,6,258,582,1,,14.80,Inner pack incomplete
11,7,477,1553,1,,126.00,colour bleeding after first wash
12,7,476,1298,1,,182.90,stitching failed on the shoulder strap
13,9,575,2041,2,,1233.00,Inner pack incomplete
14,11,656,2974,4,2,39.56,Wrong size
15,12,662,2645,2,1,311.80,Short against packing list
16,13,701,1372,4,,49.40,Wrong size
17,14,760,1502,3,,27.78,Short against packing list
18,15,985,2000,12,,1162.80,Wet packaging
19,16,1063,2465,3,,50.10,pole segment split at the joint
20,17,1237,1729,15,1,598.20,Torn outer wrap
21,18,1308,1662,12,1,802.80,Torn outer wrap
22,19,1374,2443,1,,50.50,colour bleeding after first wash
23,20,1398,1164,10,3,679.00,Carton missing
24,21,1420,764,2,,68.88,Carton missing
25,23,1473,1620,1,,2.23,Unsold stock
26,24,1475,2491,4,,184.32,Carton missing
27,24,1474,1216,6,,1143.00,Inner pack incomplete
28,25,1485,1336,6,1,2.70,Unit price disputed
29,27,1628,2678,2,,1.41,Unit price disputed
30,28,1802,1504,12,,212.16,pole segment split at the joint
31,29,1846,1626,2,,122.00,Carton crushed
32,30,1859,1439,1,,59.90,stitching failed on the shoulder strap
33,31,1948,1292,1,1,210.90,zip slider broke after a few uses
34,32,1991,1391,6,1,208.20,Wet packaging
35,32,1993,631,6,1,1151.40,Wet packaging
36,33,1997,935,12,1,9802.80,Contents leaked
37,34,2273,2370,12,2,5554.80,Contents leaked
38,36,2348,659,1,1,155.00,Product surface scratched
39,37,2388,1898,5,,70.20,Unit price disputed
40,38,2415,585,2,,15.56,"valve leaks, mat deflates overnight"
41,41,2558,846,1,,135.50,Torn outer wrap
42,42,2652,2180,1,,256.90,Torn outer wrap
43,43,2674,2630,6,,492.00,Torn outer wrap
44,44,2699,1090,12,1,2326.80,Wrong size
45,45,2722,151,6,1,695.40,Inner pack incomplete
46,46,2750,3128,3,1,233.70,Torn outer wrap
47,46,2753,2553,5,4,619.50,Contents leaked
48,47,2791,368,6,,51.66,Wrong model
49,49,2815,1406,4,,83.16,Contents leaked
50,50,2853,1932,1,,16.45,Contents leaked
51,52,2890,2819,2,1,48.48,Unsold stock
52,54,3216,1755,2,,24.22,Unit price disputed
53,55,3333,790,30,,14.69,Unit price disputed
54,56,3374,2651,6,1,599.40,Wrong size
55,56,3373,3184,18,1,238.68,Wrong colour
56,57,3385,2715,5,,11.95,stitching failed on the shoulder strap
57,58,3408,2186,1,,131.00,Inner pack incomplete
58,58,3409,2615,10,,669.00,Inner pack incomplete
59,59,3442,2446,6,,2343.00,Carton crushed
60,61,3678,200,1,,188.90,Torn outer wrap
61,62,3724,3109,10,,71.88,Unit price disputed
62,63,3727,1517,1,,50.90,Carton missing
63,63,3732,435,2,,506.00,Short against packing list
64,63,3731,2228,1,,6.43,Short against packing list
65,64,3769,2680,1,,77.00,Unsold stock
66,66,3878,1902,12,,155.04,Wet packaging
67,66,3881,1004,5,,387.50,Carton crushed
68,67,3891,589,15,1,205.20,Carton crushed
69,68,4057,385,10,,40.70,Product surface scratched
70,69,4105,2123,4,,266.00,Inner pack incomplete
71,69,4104,1746,8,,559.20,Carton missing
72,69,4111,1173,2,,64.98,Inner pack incomplete
73,70,4128,1792,1,1,172.50,Inner pack incomplete
74,70,4127,2337,10,1,112.80,Carton missing
75,71,4131,1725,2,,101.80,Product surface scratched
76,72,4248,1384,24,,1123.68,Contents leaked
77,73,4313,702,1,,183.00,Product surface scratched
78,73,4314,1919,2,,47.66,Wet packaging
79,74,4348,762,4,1,419.60,Contents leaked
80,76,4393,1792,6,,1035.00,Carton crushed
81,76,4395,1751,1,,136.50,Carton crushed
82,76,4394,2500,10,,39.60,Contents leaked
83,77,4462,1931,3,1,47.16,Wet packaging
84,77,4463,1440,5,1,189.50,Contents leaked
85,77,4464,193,1,1,99.50,Contents leaked
86,78,4581,1372,1,1,12.35,Carton missing
87,79,4625,1825,20,,3258.00,Carton crushed
88,79,4626,205,2,,297.00,Contents leaked
89,80,4710,1318,3,,219.00,Torn outer wrap
90,80,4709,2083,36,,1159.20,Torn outer wrap
91,81,4722,274,3,1,908.70,Carton missing
92,81,4721,2766,2,1,87.96,Inner pack incomplete
93,83,4888,1403,1,,10.06,zip slider broke after a few uses
94,84,4953,41,3,,182.70,Inner pack incomplete
95,86,4972,2226,48,,375.84,Wrong colour
96,90,5054,1642,18,1,1656.00,Carton missing
97,92,5121,1669,1,,86.90,"valve leaks, mat deflates overnight"
98,93,5235,3100,6,1,4931.40,Carton missing
99,94,5380,476,12,,756.00,Contents leaked
100,95,5428,1734,1,,131.00,Short against packing list
101,97,5531,631,1,,191.90,Unsold stock
102,97,5530,6,10,,7759.00,Unsold stock
103,98,5548,846,20,,325.20,Unit price disputed
104,99,5565,1920,4,1,100.40,Short against packing list
105,100,5666,489,12,,125.14,Unit price disputed
106,101,5678,1952,2,1,62.36,Carton missing
107,101,5679,263,10,1,367.50,Inner pack incomplete
108,102,5827,167,2,,261.80,Product surface scratched
109,103,5830,2422,1,,37.27,Wet packaging
110,103,5832,906,20,,157.40,Carton crushed
111,103,5829,368,2,,17.22,Wet packaging
112,104,5946,131,3,2,583.50,Inner pack incomplete
113,105,6025,1572,2,,8.40,Unit price disputed
114,106,6055,1158,18,,690.48,sole separating from the upper
115,107,6064,1742,12,,934.80,Torn outer wrap
116,108,6069,1485,6,1,1284.00,Wrong size
117,109,6102,2831,2,1,191.80,Torn outer wrap
118,109,6101,428,7,1,2757.30,Wet packaging
119,111,6136,1406,12,,29.94,Unit price disputed
120,112,6148,671,24,1,1111.20,Wet packaging
121,114,6361,481,2,1,64.40,Wrong size
122,115,6410,539,5,1,254.50,Carton missing
123,115,6408,3164,48,1,6475.20,Carton missing
124,117,6602,210,48,1,3643.20,Wrong model
125,117,6603,412,12,1,3718.80,Wrong colour
126,117,6601,1920,4,1,100.40,Wrong size
127,118,6637,1215,4,,703.60,Product surface scratched
128,119,6695,2852,1,,73.90,Product surface scratched
129,119,6696,227,1,,7.91,Torn outer wrap
130,121,6876,193,1,,99.50,Torn outer wrap
131,122,7221,1231,4,2,447.60,Carton missing
132,122,7215,2553,3,1,371.70,Carton missing
133,122,7217,462,2,1,114.00,Carton missing
134,123,7359,428,24,,9453.60,Contents leaked
135,123,7360,2865,1,,31.53,Torn outer wrap
136,125,7455,274,12,1,3634.80,Torn outer wrap
137,126,7497,2089,2,,99.90,buckle cracked in the cold
138,126,7496,1542,1,,3.68,buckle cracked in the cold
139,128,7588,1902,15,1,193.80,Contents leaked
140,128,7591,488,6,1,570.00,Product surface scratched
141,130,7654,2525,5,,13.25,Wrong colour
142,131,7663,2928,24,,608.40,buckle cracked in the cold
143,132,7786,2627,30,,4455.00,Wrong colour
144,133,7839,665,24,1,8637.60,Unsold stock
145,134,7849,1392,1,,2.55,Carton missing
146,135,7918,1871,24,1,194.88,Carton crushed
147,135,7914,2570,12,1,898.80,Carton crushed
148,136,8044,1626,10,,610.00,Wrong size
149,137,8102,2890,12,,97.78,Unit price disputed
150,138,8113,419,6,,749.40,Wrong colour
151,140,8242,2547,12,1,5.98,Unit price disputed
152,143,8596,1108,6,,389.40,Inner pack incomplete
153,144,8686,1557,12,,708.00,Wrong size
154,145,8707,1481,20,,32.52,Unit price disputed
155,146,8708,2707,48,,378.72,Unsold stock
156,146,8709,944,2,,49.76,Unsold stock
157,147,8745,419,2,1,249.80,Wrong colour
158,147,8748,1233,30,1,3267.00,Wrong size
159,148,8908,731,4,,419.60,Carton crushed
160,148,8911,2766,1,,43.98,Torn outer wrap
161,150,9023,360,18,,172.62,Wrong size
162,152,9122,2548,2,1,211.80,Carton crushed
163,152,9119,1158,12,1,460.32,Contents leaked
164,154,9326,2617,4,,109.68,Unit price disputed
165,156,9343,2594,6,,425.40,Torn outer wrap
166,158,9638,17,1,,319.90,Wrong colour
167,159,9727,1398,1,,11.32,Carton missing
168,160,9794,2587,5,,1014.50,Short against packing list
169,161,9838,171,6,,317.40,Wrong size
170,162,9846,2586,2,,411.80,Wrong colour
171,163,9847,2414,10,,1249.00,Inner pack incomplete
172,164,9848,1146,4,,234.00,stitching failed on the shoulder strap
173,167,10144,1481,1,,13.55,Product surface scratched
174,167,10147,715,6,,182.88,Product surface scratched
175,167,10145,2645,1,,155.90,Contents leaked
176,169,10457,3157,10,,214.10,Contents leaked
177,169,10460,3158,3,,61.14,Carton crushed
178,170,10477,367,2,,4.76,Product surface scratched
179,171,10499,1137,5,,216.95,buckle cracked in the cold
180,172,10583,183,9,,322.92,Carton crushed
181,175,10889,1633,6,,41.40,Inner pack incomplete
182,175,10890,98,3,,102.06,Inner pack incomplete
183,176,10960,1167,10,,331.70,Wet packaging
184,177,10963,2463,24,,10428.00,Wrong size
185,179,11078,2506,4,,64.68,Product surface scratched
186,179,11081,1831,1,,267.90,Product surface scratched
187,182,11474,920,5,,114.20,Contents leaked
188,183,11529,1199,7,,1176.00,buckle cracked in the cold
189,184,11555,2779,2,,169.80,pole segment split at the joint
190,185,11574,3184,30,,47.74,Unit price disputed
191,186,11627,1117,24,1,1149.36,Wet packaging
192,187,11651,350,1,1,30.84,Short against packing list
193,187,11655,1009,5,1,562.50,Short against packing list
194,188,11757,2380,2,,147.00,Wet packaging
195,189,11791,2347,1,,21.92,Inner pack incomplete
196,191,11805,3152,6,,719.40,Torn outer wrap
197,191,11804,800,1,,21.85,Torn outer wrap
198,194,12003,1040,4,1,886.00,Carton missing
199,195,12059,846,20,,2710.00,Product surface scratched
200,196,12076,148,3,,213.00,Product surface scratched
201,197,12081,2530,20,,58.60,Wrong size
202,197,12080,2784,5,,85.30,Wrong model
203,198,12102,2698,30,,71.10,Short against packing list
204,202,12198,1,2,1,214.00,Short against packing list
205,202,12199,973,96,1,16128.00,Short against packing list
206,203,12217,478,12,,84.82,Unit price disputed
207,205,12398,1730,3,1,203.70,Product surface scratched
208,206,12451,1485,6,1,154.08,Unit price disputed
209,207,12491,2426,1,,34.92,Carton missing
210,208,12553,244,4,,134.35,Unit price disputed
211,209,12563,2553,2,,247.80,Product surface scratched
212,209,12565,113,1,,160.90,Torn outer wrap
213,209,12564,1520,8,,18.24,Torn outer wrap
214,211,12666,3134,5,,384.50,Inner pack incomplete
215,213,12871,884,1,1,52.50,Short against packing list
216,213,12872,1885,96,1,12720.00,Short against packing list
217,214,12917,2210,1,,62.50,Contents leaked
218,215,12942,1553,1,1,126.00,Unsold stock
219,215,12943,682,24,1,1704.00,Unsold stock
220,215,12944,1034,1,1,149.90,Unsold stock
221,217,13042,948,10,,1859.00,Wet packaging
222,217,13043,2304,4,,35.36,Carton crushed
223,218,13069,2378,12,1,924.00,Carton crushed
224,218,13068,789,1,1,112.50,Torn outer wrap
