id,customer_number,name,chain_name,segment,country,city,postal_code,street,vat_number,email_domain,phone,credit_limit,payment_terms_days,customer_discount_pct,account_manager_id,created_at,active
1,C-10001,Retkivakka Tampere,Retkivakka,CHAIN_STORE,FI,Tampere,33100,Puistokatu 33,FI35133467,retkivakka.example,+358 40 235 1401,100000.00,60,0.0,8,2018-07-15,true
2,C-10002,Vidderna Sport Kiruna,Vidderna Sport,CHAIN_STORE,SE,Kiruna,981 31,Hamngatan 78,SE753826555201,vidderna.sport.example,+46 70 978 57 07,5000.00,45,0.0,8,2023-01-08,true
3,C-10003,Stigfinnare Umeå,Stigfinnare,CHAIN_STORE,SE,Umeå,903 26,Järnvägsgatan 21,SE386689456601,stigfinnare.example,+46 70 978 64 14,5000.00,30,10.0,8,2017-05-03,true
4,C-10004,Fjellkroken Sport Tromsø,Fjellkroken Sport,CHAIN_STORE,NO,Tromsø,9008,Havnegata 96,NO727104771MVA,fjellkroken.sport.example,+47 912 20 076,40000.00,30,0.0,9,2024-06-08,true
5,C-10005,Kystlinje Sport Aarhus,Kystlinje Sport,CHAIN_STORE,DK,Aarhus,8000,Vestergade 69,DK18856964,kystlinje.sport.example,+45 70 74 05 33,10000.00,30,0.0,8,2018-02-01,true
6,C-10006,Suuntima Sport Rovaniemi,Suuntima Sport,CHAIN_STORE,FI,Rovaniemi,96100,Rantatie 86,FI10251416,suuntima.sport.example,+358 40 705 3535,10000.00,30,12.0,9,2026-07-20,true
7,C-10007,Retkivakka Vaasa,Retkivakka,CHAIN_STORE,FI,Vaasa,65100,Kauppakatu 38,FI94452890,retkivakka.example,+358 40 111 9558,10000.00,30,7.5,9,2020-08-18,true
8,C-10008,Retkivakka Espoo,Retkivakka,CHAIN_STORE,FI,Espoo,02100,Torikatu 42,FI97867412,retkivakka.example,+358 40 817 6937,5000.00,30,5.0,9,2019-11-03,true
9,C-10009,Retkivakka Vaasa Hämeenkatu,Retkivakka,CHAIN_STORE,FI,Vaasa,65100,Teollisuustie 52,FI03020051,retkivakka.example,+358 40 204 7583,100000.00,30,5.0,10,2022-01-03,true
10,C-10010,Retkivakka Hämeenlinna,Retkivakka,CHAIN_STORE,FI,Hämeenlinna,13100,Teollisuustie 19,FI05430629,retkivakka.example,+358 40 593 1022,25000.00,45,10.0,8,2026-08-08,true
