id,customer_id,label,street,postal_code,city,country,delivery_instructions,is_default
1,1,Store,Puistokatu 33,33100,Tampere,FI,,true
2,2,Store,Hamngatan 78,981 31,Kiruna,SE,Call 30 min before arrival,true
3,3,Store,Järnvägsgatan 21,903 26,Umeå,SE,Leave with neighbour shop if closed,true
4,4,Store,Havnegata 96,9008,Tromsø,NO,No deliveries before 9:00,true
5,5,Store,Vestergade 69,8000,Aarhus,DK,No deliveries before 9:00,true
6,6,Store,Rantatie 86,96100,Rovaniemi,FI,,true
7,6,Central warehouse,Teollisuustie 106,02100,Espoo,FI,Call 30 min before arrival,false
8,6,Second store,Asemakatu 58,33100,Tampere,FI,,false
9,7,Store,Kauppakatu 38,65100,Vaasa,FI,"Loading bay at the back, open 7-15",true
10,7,Central warehouse,Puistokatu 106,02100,Espoo,FI,,false
11,8,Store,Torikatu 42,02100,Espoo,FI,,true
12,9,Store,Teollisuustie 52,65100,Vaasa,FI,No deliveries before 9:00,true
13,9,Central warehouse,Rantatie 28,93600,Kuusamo,FI,,false
14,9,Second store,Rantatie 46,70100,Kuopio,FI,,false
15,10,Store,Teollisuustie 19,13100,Hämeenlinna,FI,,true
16,10,Second store,Asemakatu 10,96100,Rovaniemi,FI,Pallets only via goods entrance,false
17,11,Store,Teollisuustie 51,40100,Jyväskylä,FI,,true
18,12,Store,Keskuskatu 10,00100,Helsinki,FI,Call 30 min before arrival,true
19,13,Store,Torikatu 81,15100,Lahti,FI,,true
20,14,Store,Torikatu 95,65100,Vaasa,FI,Call 30 min before arrival,true
21,15,Store,Teollisuustie 15,70100,Kuopio,FI,"Loading bay at the back, open 7-15",true
22,15,Central warehouse,Teollisuustie 26,13100,Hämeenlinna,FI,Leave with neighbour shop if closed,false
23,15,Second store,Rantatie 80,96100,Rovaniemi,FI,Leave with neighbour shop if closed,false
24,16,Store,Kauppakatu 102,80100,Joensuu,FI,"Loading bay at the back, open 7-15",true
25,17,Store,Yliopistonkatu 53,20100,Turku,FI,"Loading bay at the back, open 7-15",true
26,17,Central warehouse,Mannerheimintie 73,00100,Helsinki,FI,,false
27,18,Store,Rantatie 2,80100,Joensuu,FI,Leave with neighbour shop if closed,true
28,18,Second store,Hämeenkatu 47,90100,Oulu,FI,"Loading bay at the back, open 7-15",false
29,19,Store,Yliopistonkatu 21,96100,Rovaniemi,FI,Pallets only via goods entrance,true
30,19,Second store,Teollisuustie 52,93600,Kuusamo,FI,Pallets only via goods entrance,false
31,20,Store,Kauppakatu 31,70100,Kuopio,FI,No deliveries before 9:00,true
32,21,Store,Yliopistonkatu 117,90100,Oulu,FI,"Loading bay at the back, open 7-15",true
33,21,Second store,Mannerheimintie 7,99100,Kittilä,FI,Leave with neighbour shop if closed,false
34,22,Store,Yliopistonkatu 42,65100,Vaasa,FI,Pallets only via goods entrance,true
35,22,Central warehouse,Mannerheimintie 98,15100,Lahti,FI,,false
36,23,Store,Kauppakatu 87,13100,Hämeenlinna,FI,,true
37,23,Central warehouse,Kauppakatu 82,20100,Turku,FI,,false
38,24,Store,Rantatie 65,33100,Tampere,FI,,true
39,24,Second store,Keskuskatu 3,33100,Tampere,FI,"Loading bay at the back, open 7-15",false
40,25,Store,Yliopistonkatu 81,20100,Turku,FI,,true
41,26,Store,Mannerheimintie 11,00100,Helsinki,FI,Call 30 min before arrival,true
42,26,Central warehouse,Asemakatu 16,65100,Vaasa,FI,Pallets only via goods entrance,false
43,27,Store,Teollisuustie 34,67100,Kokkola,FI,Call 30 min before arrival,true
44,28,Store,Puistokatu 107,99100,Kittilä,FI,,true
45,28,Central warehouse,Mannerheimintie 79,99100,Kittilä,FI,Call 30 min before arrival,false
46,29,Store,Yliopistonkatu 107,99100,Kittilä,FI,,true
47,30,Store,Hämeenkatu 32,67100,Kokkola,FI,Leave with neighbour shop if closed,true
48,30,Central warehouse,Asemakatu 34,02100,Espoo,FI,,false
49,31,Store,Hämeenkatu 16,65100,Vaasa,FI,No deliveries before 9:00,true
50,32,Store,Hämeenkatu 23,13100,Hämeenlinna,FI,Pallets only via goods entrance,true
51,32,Central warehouse,Torikatu 66,70100,Kuopio,FI,Call 30 min before arrival,false
52,32,Second store,Kauppakatu 56,99100,Kittilä,FI,,false
53,33,Store,Torikatu 27,40100,Jyväskylä,FI,Call 30 min before arrival,true
54,33,Second store,Hämeenkatu 81,13100,Hämeenlinna,FI,,false
55,34,Store,Yliopistonkatu 31,80100,Joensuu,FI,No deliveries before 9:00,true
56,35,Store,Teollisuustie 38,65100,Vaasa,FI,"Loading bay at the back, open 7-15",true
57,36,Store,Mannerheimintie 92,90100,Oulu,FI,"Loading bay at the back, open 7-15",true
58,37,Store,Kauppakatu 110,93600,Kuusamo,FI,Leave with neighbour shop if closed,true
59,38,Store,Hämeenkatu 90,65100,Vaasa,FI,Pallets only via goods entrance,true
60,38,Central warehouse,Hämeenkatu 103,67100,Kokkola,FI,,false
61,39,Store,Puistokatu 84,02100,Espoo,FI,Call 30 min before arrival,true
62,40,Store,Mannerheimintie 104,13100,Hämeenlinna,FI,"Loading bay at the back, open 7-15",true
63,40,Second store,Yliopistonkatu 39,96100,Rovaniemi,FI,,false
64,41,Store,Asemakatu 112,96100,Rovaniemi,FI,,true
65,42,Store,Teollisuustie 57,96100,Rovaniemi,FI,Pallets only via goods entrance,true
66,42,Second store,Yliopistonkatu 92,33100,Tampere,FI,No deliveries before 9:00,false
67,43,Store,Keskuskatu 1,15100,Lahti,FI,,true
68,44,Store,Torikatu 70,13100,Hämeenlinna,FI,Leave with neighbour shop if closed,true
69,45,Store,Norra Esplanaden 93,981 31,Kiruna,SE,,true
70,46,Store,Kungsgatan 95,652 24,Karlstad,SE,Pallets only via goods entrance,true
71,47,Store,Industriveien 65,3015,Drammen,NO,Pallets only via goods entrance,true
72,47,Second store,Industriveien 25,7010,Trondheim,NO,,false
73,48,Store,Skoleveien 79,6002,Ålesund,NO,Leave with neighbour shop if closed,true
74,48,Central warehouse,Storgata 89,9008,Tromsø,NO,,false
75,49,Store,Strandveien 106,4610,Kristiansand,NO,"Loading bay at the back, open 7-15",true
76,49,Central warehouse,Havnegata 25,9510,Alta,NO,Call 30 min before arrival,false
77,50,Store,Skolgatan 5,582 22,Linköping,SE,Leave with neighbour shop if closed,true
78,51,Store,Hamngatan 99,981 31,Kiruna,SE,,true
79,51,Central warehouse,Industrivägen 119,852 30,Sundsvall,SE,,false
