id,shipment_id,event_time,event_type,location,note
1,1,2025-07-24 10:06:20,PICKED,Göteborg,51 units picked
2,1,2025-07-24 12:06:20,PACKED,Göteborg,9 parcel(s)
3,1,2025-07-24 13:05:37,DISPATCHED,Göteborg,Handed to Nordfrakt
4,1,2025-07-25 05:30:33,HUB_SCAN,Taulov terminal,Arrived at terminal
5,1,2025-07-28 07:03:00,OUT_FOR_DELIVERY,Kolding,
6,1,2025-07-28 09:16:46,DELIVERED,Kolding,Signed by Mette Nielsen
7,2,2025-07-21 08:14:13,PICKED,Vantaa,92 units picked
8,2,2025-07-21 09:14:13,PACKED,Vantaa,16 parcel(s)
9,2,2025-07-22 11:47:07,DISPATCHED,Vantaa,Handed to Nordfrakt
10,2,2025-07-23 03:09:53,HUB_SCAN,Vantaa hub,Arrived at terminal
11,2,2025-07-24 07:56:00,OUT_FOR_DELIVERY,Lahti,
12,2,2025-07-24 11:26:24,DELIVERED,Lahti,Signed at goods entrance
13,3,2025-08-06 07:42:13,PICKED,Vantaa,1 units picked
14,3,2025-08-06 11:42:13,PACKED,Vantaa,1 parcel(s)
15,3,2025-08-06 15:33:06,DISPATCHED,Vantaa,Handed to Nordfrakt
16,3,2025-08-07 01:53:07,HUB_SCAN,Vantaa hub,Arrived at terminal
17,3,2025-08-08 07:02:00,OUT_FOR_DELIVERY,Lahti,
18,3,2025-08-08 13:45:25,DELIVERED,Lahti,Signed by Juhani Virtanen
19,4,2025-07-15 06:41:48,PICKED,Göteborg,115 units picked
20,4,2025-07-15 09:41:48,PACKED,Göteborg,1 pallet(s)
21,4,2025-07-15 12:05:07,DISPATCHED,Göteborg,Handed to Polarpost
22,4,2025-07-16 03:55:45,HUB_SCAN,Taulov terminal,Arrived at terminal
23,4,2025-07-18 07:18:00,OUT_FOR_DELIVERY,Aalborg,
24,4,2025-07-18 11:50:04,DELIVERED,Aalborg,Signed at goods entrance
25,5,2025-07-28 06:45:30,PICKED,Göteborg,24 units picked
26,5,2025-07-28 10:45:30,PACKED,Göteborg,4 parcel(s)
27,5,2025-07-29 17:11:22,DISPATCHED,Göteborg,Handed to Polarpost
28,5,2025-07-30 06:54:40,HUB_SCAN,Taulov terminal,Arrived at terminal
29,5,2025-08-01 07:00:00,OUT_FOR_DELIVERY,Aalborg,
30,5,2025-08-01 10:10:43,DELIVERED,Aalborg,Signed by C. Nielsen
31,6,2025-07-24 06:22:33,PICKED,Göteborg,68 units picked
32,6,2025-07-24 08:22:33,PACKED,Göteborg,1 pallet(s)
33,6,2025-07-24 18:19:56,DISPATCHED,Göteborg,Handed to Kalott Freight
34,6,2025-07-25 05:40:43,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
35,6,2025-07-28 07:40:00,OUT_FOR_DELIVERY,Ålesund,
36,6,2025-07-28 15:34:57,DELIVERED,Ålesund,Left at loading bay as instructed
37,7,2025-07-30 07:30:08,PICKED,Vantaa,49 units picked
38,7,2025-07-30 10:30:08,PACKED,Vantaa,1 pallet(s)
39,7,2025-07-30 18:35:44,DISPATCHED,Vantaa,Handed to Kalott Freight
40,7,2025-07-31 01:24:02,HUB_SCAN,Vantaa hub,Arrived at terminal
41,7,2025-07-31 07:59:00,OUT_FOR_DELIVERY,Vaasa,
42,7,2025-07-31 14:14:43,DELIVERED,Vaasa,Signed by Lauri Saarinen
43,8,2025-07-14 11:24:40,PICKED,Vantaa,88 units picked
44,8,2025-07-14 12:24:40,PACKED,Vantaa,1 pallet(s)
45,8,2025-07-14 15:11:27,DISPATCHED,Vantaa,Handed to Havnelast
46,8,2025-07-15 01:18:32,HUB_SCAN,Vantaa hub,Arrived at terminal
47,8,2025-07-15 07:48:00,OUT_FOR_DELIVERY,Jyväskylä,
48,8,2025-07-15 11:02:42,DELIVERED,Jyväskylä,Signed by R. Aho
49,9,2025-07-17 09:34:20,PICKED,Vantaa,58 units picked
50,9,2025-07-17 11:34:20,PACKED,Vantaa,10 parcel(s)
51,9,2025-07-18 10:03:36,DISPATCHED,Vantaa,Handed to Nordfrakt
52,9,2025-07-21 06:02:47,HUB_SCAN,Vantaa hub,Arrived at terminal
53,9,2025-07-21 07:31:00,OUT_FOR_DELIVERY,Kokkola,
54,9,2025-07-21 08:21:32,DELIVERED,Kokkola,Signed at goods entrance
55,10,2025-07-17 09:51:03,PICKED,Vantaa,38 units picked
56,10,2025-07-17 13:51:03,PACKED,Vantaa,7 parcel(s)
57,10,2025-07-18 09:34:20,DISPATCHED,Vantaa,Handed to Polarpost
58,10,2025-07-21 05:42:57,HUB_SCAN,Vantaa hub,Arrived at terminal
59,10,2025-07-21 07:52:00,OUT_FOR_DELIVERY,Kuopio,
60,10,2025-07-21 14:14:23,DELIVERED,Kuopio,Signed at goods entrance
61,11,2025-07-21 08:22:43,PICKED,Vantaa,202 units picked
62,11,2025-07-21 09:22:43,PACKED,Vantaa,1 pallet(s)
63,11,2025-07-22 18:46:43,DISPATCHED,Vantaa,Handed to Baltic Freight Line
64,11,2025-07-23 06:06:16,HUB_SCAN,Vantaa hub,Arrived at terminal
65,11,2025-07-23 06:52:34,DELAYED,Vantaa hub,Weather: road closed
66,11,2025-07-25 07:50:00,OUT_FOR_DELIVERY,Kittilä,
67,11,2025-07-25 15:59:22,DELIVERED,Kittilä,Left at loading bay as instructed
68,12,2025-07-15 07:44:26,PICKED,Göteborg,35 units picked
69,12,2025-07-15 11:44:26,PACKED,Göteborg,1 pallet(s)
70,12,2025-07-16 17:32:00,DISPATCHED,Göteborg,Handed to Nordfrakt
71,12,2025-07-17 02:10:29,HUB_SCAN,Örebro terminal,Arrived at terminal
72,12,2025-07-17 07:40:00,OUT_FOR_DELIVERY,Göteborg,
73,12,2025-07-17 10:57:44,DELIVERED,Göteborg,Signed at goods entrance
74,13,2025-07-30 06:38:16,PICKED,Göteborg,6 units picked
75,13,2025-07-30 10:38:16,PACKED,Göteborg,1 parcel(s)
76,13,2025-07-30 10:25:33,DISPATCHED,Göteborg,Handed to Nordfrakt
77,13,2025-07-31 03:22:33,HUB_SCAN,Örebro terminal,Arrived at terminal
78,13,2025-08-04 07:12:00,OUT_FOR_DELIVERY,Linköping,
79,13,2025-08-04 15:43:08,DELIVERED,Linköping,Signed by M. Bergström
80,14,2025-07-10 10:21:48,PICKED,Vantaa,126 units picked
81,14,2025-07-10 11:21:48,PACKED,Vantaa,1 pallet(s)
82,14,2025-07-11 14:02:20,DISPATCHED,Vantaa,Handed to Polarpost
83,14,2025-07-14 02:05:14,HUB_SCAN,Vantaa hub,Arrived at terminal
84,14,2025-07-14 07:15:00,OUT_FOR_DELIVERY,Kokkola,
85,14,2025-07-14 09:26:33,DELIVERED,Kokkola,Signed at goods entrance
86,15,2025-07-30 06:17:24,PICKED,Vantaa,12 units picked
87,15,2025-07-30 09:17:24,PACKED,Vantaa,2 parcel(s)
88,15,2025-07-31 16:08:21,DISPATCHED,Vantaa,Handed to Polarpost
89,15,2025-08-01 01:25:28,HUB_SCAN,Vantaa hub,Arrived at terminal
90,15,2025-08-04 07:15:00,OUT_FOR_DELIVERY,Kokkola,
91,15,2025-08-04 12:06:28,DELIVERED,Kokkola,Signed at goods entrance
92,16,2025-07-07 10:58:29,PICKED,Vantaa,60 units picked
93,16,2025-07-07 14:58:29,PACKED,Vantaa,1 pallet(s)
