id,product_id,list_price,currency,valid_from,valid_to,reason,created_by,created_at
1,1,102.90,EUR,2020-02-04,2020-12-31,Initial listing,7,2020-01-10 14:24:00
2,1,99.90,EUR,2021-01-01,2021-12-31,Competitive adjustment,7,2020-12-13 09:43:00
3,1,102.90,EUR,2022-01-01,2022-12-31,Range repositioning,7,2021-12-16 16:52:00
4,1,107.00,EUR,2023-01-01,2026-06-30,Range repositioning,7,2022-12-15 15:20:00
5,1,109.00,EUR,2026-07-01,,Supplier increase,7,2026-06-05 11:19:00
6,2,107.50,EUR,2023-07-15,2024-06-30,Initial listing,6,2023-07-10 15:48:00
7,2,112.90,EUR,2024-07-01,2025-06-30,Range repositioning,7,2024-06-05 14:53:00
8,2,116.90,EUR,2025-07-01,,Currency adjustment,6,2025-06-27 09:57:00
9,3,97.90,EUR,2019-01-18,2019-06-30,Initial listing,7,2019-01-01 15:26:00
10,3,101.50,EUR,2019-07-01,2020-06-30,Range repositioning,7,2019-06-26 13:09:00
11,3,96.50,EUR,2020-07-01,2020-12-31,Competitive adjustment,7,2020-06-16 12:01:00
12,3,98.50,EUR,2021-01-01,2021-06-30,Supplier increase,6,2020-12-10 09:11:00
13,3,93.90,EUR,2021-07-01,2022-06-30,Competitive adjustment,7,2021-06-18 12:27:00
14,3,98.90,EUR,2022-07-01,2022-12-31,Annual price update,7,2022-06-10 12:37:00
15,3,102.50,EUR,2023-01-01,2023-06-30,Range repositioning,7,2022-12-16 13:02:00
16,3,106.90,EUR,2023-07-01,2023-12-31,Range repositioning,6,2023-06-18 15:41:00
17,3,113.50,EUR,2024-01-01,2024-12-31,Supplier increase,7,2023-12-24 09:23:00
18,3,107.90,EUR,2025-01-01,2025-12-31,Clearance,7,2024-12-02 12:47:00
19,3,113.50,EUR,2026-01-01,2026-06-30,Currency adjustment,6,2025-12-07 12:52:00
20,3,115.90,EUR,2026-07-01,,Currency adjustment,6,2026-06-02 16:47:00
21,4,98.50,EUR,2026-03-18,,Initial listing,7,2026-02-24 09:47:00
22,5,147.90,EUR,2024-08-03,2025-12-31,Initial listing,6,2024-07-04 09:17:00
23,5,153.90,EUR,2026-01-01,2026-06-30,Annual price update,6,2025-12-02 10:20:00
24,5,149.50,EUR,2026-07-01,,Clearance,6,2026-06-19 14:02:00
25,6,735.90,EUR,2020-07-14,2021-12-31,Initial listing,6,2020-06-16 16:55:00
26,6,699.00,EUR,2022-01-01,2022-12-31,Competitive adjustment,6,2021-12-21 14:37:00
27,6,723.90,EUR,2023-01-01,2023-06-30,Annual price update,6,2022-12-05 08:24:00
28,6,752.90,EUR,2023-07-01,2024-12-31,Currency adjustment,6,2023-06-15 16:57:00
29,6,775.90,EUR,2025-01-01,2025-12-31,Annual price update,7,2024-12-16 15:53:00
30,6,803.00,EUR,2026-01-01,,Currency adjustment,7,2025-12-10 08:11:00
31,7,657.00,EUR,2022-08-07,2024-12-31,Initial listing,6,2022-07-29 11:54:00
32,7,676.90,EUR,2025-01-01,2025-06-30,Cost update,6,2024-12-03 13:23:00
33,7,693.90,EUR,2025-07-01,2026-06-30,Cost update,6,2025-06-03 11:51:00
34,7,659.50,EUR,2026-07-01,,Clearance,6,2026-06-06 10:06:00
35,8,655.00,EUR,2022-11-28,2022-12-31,Initial listing,6,2022-11-16 12:24:00
36,8,622.50,EUR,2023-01-01,2025-06-30,Clearance,7,2022-12-09 13:09:00
37,8,603.90,EUR,2025-07-01,2025-12-31,Clearance,6,2025-06-28 16:00:00
38,8,619.00,EUR,2026-01-01,,Supplier increase,7,2025-12-16 10:54:00
39,9,644.00,EUR,2026-03-12,2026-06-30,Initial listing,6,2026-02-13 11:55:00
40,9,669.90,EUR,2026-07-01,,Range repositioning,6,2026-06-21 08:27:00
41,10,544.00,EUR,2025-10-01,,Initial listing,7,2025-09-02 12:51:00
42,11,232.90,EUR,2019-01-07,2019-06-30,Initial listing,7,2018-12-09 13:52:00
43,11,242.50,EUR,2019-07-01,2019-12-31,Currency adjustment,6,2019-06-16 08:15:00
44,11,252.00,EUR,2020-01-01,2020-06-30,Currency adjustment,7,2019-12-09 13:41:00
45,11,264.90,EUR,2020-07-01,2020-12-31,Supplier increase,7,2020-06-17 13:09:00
